Plant Name,Growth,Soil,Sunlight,Watering,Fertilizing Type,ImageURL,Scientific Name,Genus,Family,Information,Watering tips,Soil Tips,Pruning Tips
Aloe Vera,slow,sandy,indirect sunlight,Water weekly,Balanced,https://images.unsplash.com/photo-1509423350716-97f9360b4e09?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxBbG9lJTIwVmVyYSUyMHBsYW50fGVufDB8fHx8MTc0NDU1MjIwOHww&ixlib=rb-4.0.3&q=80&w=1080,Aloe barbadensis miller,Aloe,Asphodelaceae,"Aloe Vera is a succulent plant species known for its thick, fleshy leaves filled with a soothing gel. It's widely used in skincare and medicinal applications for its anti-inflammatory and healing properties. Native to arid climates, Aloe Vera is a resilient, low-maintenance plant that thrives indoors or outdoors in warm, dry environments.",Water every 2–3 weeks. Allow soil to completely dry between watering.,Well-draining cactus or succulent mix.,"Remove old, dry, or damaged leaves at the base."
Basil,fast,well-drained,full sunlight,Keep soil evenly moist,Organic,https://images.unsplash.com/photo-1619805640532-21cce5fe542b?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxCYXNpbCUyMHBsYW50fGVufDB8fHx8MTc0NDU1MjIxMHww&ixlib=rb-4.0.3&q=80&w=1080,Ocimum basilicum,Ocimum,Lamiaceae,"Basil is a popular culinary herb prized for its aromatic leaves and rich flavor, often used in Italian, Thai, and Mediterranean cuisines. It grows quickly and does well in warm, sunny environments. Basil is also known for its antioxidant properties and immune-boosting benefits.","Keep soil moist, water regularly without waterlogging.","Fertile, moist, and well-draining soil.",Pinch off flower buds to encourage leaf growth.
Snake Plant,slow,well-drained,indirect sunlight,Water when soil is dry,No,https://images.unsplash.com/photo-1516285439539-d50a3a401c79?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxTbmFrZSUyMFBsYW50JTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyMjEyfDA&ixlib=rb-4.0.3&q=80&w=1080,Dracaena trifasciata (formerly Sansevieria trifasciata),Dracaena,Asparagaceae,"Snake Plant, also known as Mother-in-Laws Tongue, is a striking and hardy houseplant recognized for its upright, sword-like leaves. It's incredibly tolerant of low light and irregular watering, making it perfect for beginners and indoor settings. It also helps purify indoor air.",Water every 2–4 weeks; let soil dry between watering.,Well-draining potting mix or succulent mix,Trim old or damaged leaves from the base.
Lavender,moderate,sandy,full sunlight,Let soil dry between watering,No,https://images.unsplash.com/photo-1552033931-d249575b5ac1?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxMYXZlbmRlciUyMHBsYW50fGVufDB8fHx8MTc0NDU1MjIxNHww&ixlib=rb-4.0.3&q=80&w=1080,Lavandula angustifolia,Lavandula,Lamiaceae,"Lavender is a fragrant herb known for its aromatic purple flowers and calming scent. It thrives in full sun and dry soil and is widely used in perfumes, essential oils, and culinary dishes. Its drought resistance makes it ideal for Mediterranean-style gardens.",Water deeply but infrequently,"Sandy, well-drained soil.",Prune annually to keep a compact shape and stimulate flowering.
Cactus,slow,sandy,full sunlight,Let soil dry between watering,Low-nitrogen,https://images.unsplash.com/photo-1554631221-f9603e6808be?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxDYWN0dXMlMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTIyMTZ8MA&ixlib=rb-4.0.3&q=80&w=1080,Echinopsis spp.,Echinopsis,Cactaceae,"Cacti are hardy, drought-resistant plants that store water in their thick, fleshy stems. Native to deserts, they come in various shapes and sizes and require minimal care. Cacti are popular as decorative houseplants and are symbols of endurance and protection.","Water sparingly, only when soil is completely dry.",Cactus mix or sandy soil.,Remove dead or rotting parts with sterilized shears.
Rosemary,moderate,well-drained,full sunlight,Let soil dry between watering,No,https://images.unsplash.com/photo-1603129624917-3c579e864025?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxSb3NlbWFyeSUyMHBsYW50fGVufDB8fHx8MTc0NDU1MjIxOHww&ixlib=rb-4.0.3&q=80&w=1080,Salvia rosmarinus,Salvia,Lamiaceae,"Rosemary is a robust evergreen herb with needle-like leaves and a distinctive aroma. Native to the Mediterranean, it's cherished for both culinary uses and ornamental value. Its essential oils are also used in aromatherapy. Rosemary thrives in sunny spots and is a favorite for kitchen gardens.",Allow the top inch of soil to dry between waterings.,"Well-draining, sandy or loamy soil.",Trim regularly to encourage bushiness and prevent woodiness.
Mint,fast,well-drained,partial sunlight,Keep soil consistently moist,Balanced,https://images.unsplash.com/photo-1618130070080-91f4d55a2383?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxNaW50JTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyMjE5fDA&ixlib=rb-4.0.3&q=80&w=1080,Mentha spp.,Mentha,Lamiaceae,"Mint is a fast-growing herb known for its cool, refreshing aroma and flavor. It spreads vigorously, making it ideal for container gardening to prevent invasiveness. Mint is commonly used in beverages, cooking, and herbal remedies for digestion.",Keep soil consistently moist,"Rich, well-draining soil.",Regularly trim to prevent flowering and control spread
Thyme,moderate,sandy,full sunlight,Let soil dry between watering,Organic,https://images.unsplash.com/photo-1679061584104-534b7ec4afe6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxUaHltZSUyMHBsYW50fGVufDB8fHx8MTc0NDU1MjIyMXww&ixlib=rb-4.0.3&q=80&w=1080,Thymus vulgaris,Thymus,Lamiaceae,"Thyme is a versatile perennial herb used for culinary seasoning, particularly in Mediterranean dishes. It has small, fragrant leaves and thrives in dry, sunny areas. Thyme is also valued for its antibacterial and antiseptic qualities in herbal medicine.",Let the soil dry between waterings,"Well-drained, slightly alkaline soil.",Trim back after flowering to promote new growth.
Peace Lily,moderate,well-drained,indirect sunlight,Water when soil feels dry,Balanced,https://images.unsplash.com/photo-1534082892897-9dbed9807519?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxQZWFjZSUyMExpbHklMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI1MzN8MA&ixlib=rb-4.0.3&q=80&w=1080,Spathiphyllum spp.,Spathiphyllum,Araceae,"Peace Lily is a popular indoor plant admired for its elegant white blooms and glossy leaves. It's known for its ability to purify indoor air. Peace Lilies prefer shady spots and thrive in humidity, making them excellent choices for indoor environments.",Keep soil moist; water when top inch is dry.,"Rich, well-draining soil.",Remove yellow or brown leaves and spent flowers.
Spider Plant,moderate,loamy,indirect sunlight,Keep soil slightly moist,Balanced,https://images.unsplash.com/photo-1722936515647-b00b7b6f9c3f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxTcGlkZXIlMjBQbGFudCUyMHBsYW50fGVufDB8fHx8MTc0NDU1MjUzNXww&ixlib=rb-4.0.3&q=80&w=1080,Chlorophytum comosum,Chlorophytum,Asparagaceae,"Spider Plant is a resilient and visually attractive houseplant recognized by its arching green-and-white striped leaves. Its pet-friendly and great for air purification. The plant produces ""pups"" or baby plants, which can be propagated easily.",Water when soil is partially dry. Avoid overwatering.,"Light, well-draining soil.",Trim dead leaves and pups for tidy appearance
